shared_path,referenced_by,nested_dependencies,depth,product_scope,platform_scope,target_strategy,status,risk,blocker,notes
docs-api-reference/shared/cloud-transcoder/common-payload.mdx,docs/cloud-transcoder/webhook/ncs-events.mdx,,0,cloud-transcoder,,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=1; generated=2026-07-02T10:27:25.467Z
docs-api-reference/shared/flexible-classroom/_character-set.mdx,docs-api-reference/flexible-classroom/classroom-sdk.android.mdx|docs-api-reference/flexible-classroom/classroom-sdk.ios.mdx|docs-api-reference/flexible-classroom/classroom-sdk.javascript.electron.mdx|docs-api-reference/flexible-classroom/fcr-ui-scene.javascript.electron.mdx|docs-api-reference/flexible-classroom/proctor-sdk.ios.mdx|docs-api-reference/flexible-classroom/proctor-sdk.javascript.electron.mdx|docs-api-reference/rtm2/toc-message/publish.restful.mdx|docs-api-reference/rtm2/toc-message/receive.restful.mdx|docs/flexible-classroom/_restapi.mdx|docs/flexible-classroom/api/api-classroom.restful.mdx|docs/flexible-classroom/api/api-recording.restful.mdx|docs/flexible-classroom/api/api-sync.restful.mdx|docs/flexible-classroom/api/api-user.restful.mdx|docs/flexible-classroom/api/api-widget.restful.mdx|docs/shared/flexible-classroom/_roomuuid.mdx|docs/shared/flexible-classroom/_useruuid.mdx,,0,flexible-classroom|rtm2,android|electron|ios|javascript|restful,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=16; generated=2026-07-02T10:27:25.467Z
docs-api-reference/shared/iot-apaas/base.mdx,docs-api-reference/iot-apaas/device-sdk/call/base.mdx|docs-api-reference/iot-apaas/device-sdk/full/base.mdx,,0,iot-apaas,,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=2; generated=2026-07-02T10:27:25.467Z
docs-api-reference/shared/iot-apaas/config.mdx,docs-api-reference/iot-apaas/device-sdk/call/config.mdx|docs-api-reference/iot-apaas/device-sdk/full/config.mdx,,0,iot-apaas,,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=2; generated=2026-07-02T10:27:25.467Z
docs-api-reference/shared/iot-apaas/device-manager.mdx,docs-api-reference/iot-apaas/device-sdk/call/device-manager.mdx|docs-api-reference/iot-apaas/device-sdk/full/device-manager.mdx,,0,iot-apaas,,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=2; generated=2026-07-02T10:27:25.467Z
docs-api-reference/shared/iot-apaas/make-call.mdx,docs-api-reference/iot-apaas/device-sdk/call/make-call.mdx|docs-api-reference/iot-apaas/device-sdk/full/make-call.mdx,,0,iot-apaas,,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=2; generated=2026-07-02T10:27:25.467Z
docs-api-reference/shared/meeting/add-observer.mdx,docs-api-reference/meeting/client-api.android.mdx|docs-api-reference/meeting/client-api.electron.mdx|docs-api-reference/meeting/client-api.ios.mdx,,0,meeting,android|electron|ios,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=3; generated=2026-07-02T10:27:25.467Z
docs-api-reference/shared/meeting/exit-reason.mdx,docs-api-reference/meeting/client-api.android.mdx|docs-api-reference/meeting/client-api.electron.mdx|docs-api-reference/meeting/client-api.ios.mdx,,0,meeting,android|electron|ios,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=3; generated=2026-07-02T10:27:25.467Z
docs-api-reference/shared/meeting/init.mdx,docs-api-reference/meeting/client-api.android.mdx|docs-api-reference/meeting/client-api.ios.mdx,,0,meeting,android|ios,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=2; generated=2026-07-02T10:27:25.467Z
docs-api-reference/shared/meeting/on-launch-cancel.mdx,docs-api-reference/meeting/client-api.android.mdx|docs-api-reference/meeting/client-api.electron.mdx,,0,meeting,android|electron,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=2; generated=2026-07-02T10:27:25.467Z
docs-api-reference/shared/meeting/on-launch-failure.mdx,docs-api-reference/meeting/client-api.android.mdx|docs-api-reference/meeting/client-api.electron.mdx,,0,meeting,android|electron,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=2; generated=2026-07-02T10:27:25.467Z
docs-api-reference/shared/meeting/on-launch-success.mdx,docs-api-reference/meeting/client-api.android.mdx|docs-api-reference/meeting/client-api.electron.mdx,,0,meeting,android|electron,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=2; generated=2026-07-02T10:27:25.467Z
docs-api-reference/shared/meeting/remove-observer.mdx,docs-api-reference/meeting/client-api.android.mdx|docs-api-reference/meeting/client-api.electron.mdx|docs-api-reference/meeting/client-api.ios.mdx,,0,meeting,android|electron|ios,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=3; generated=2026-07-02T10:27:25.467Z
docs-api-reference/shared/meeting/scene-config.mdx,docs-api-reference/meeting/client-api.android.mdx|docs-api-reference/meeting/client-api.electron.mdx|docs-api-reference/meeting/client-api.ios.mdx,,0,meeting,android|electron|ios,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=3; generated=2026-07-02T10:27:25.467Z
docs-api-reference/shared/meeting/scene-creator-config.mdx,docs-api-reference/meeting/client-api.android.mdx|docs-api-reference/meeting/client-api.electron.mdx|docs-api-reference/meeting/client-api.ios.mdx,,0,meeting,android|electron|ios,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=3; generated=2026-07-02T10:27:25.467Z
docs-api-reference/shared/meeting/ui-resource.mdx,docs-api-reference/meeting/client-api.android.mdx|docs-api-reference/meeting/client-api.electron.mdx|docs-api-reference/meeting/client-api.ios.mdx,,0,meeting,android|electron|ios,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=3; generated=2026-07-02T10:27:25.467Z
docs-api-reference/shared/meeting/user-role.mdx,docs-api-reference/meeting/client-api.android.mdx|docs-api-reference/meeting/client-api.electron.mdx|docs-api-reference/meeting/client-api.ios.mdx,,0,meeting,android|electron|ios,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=3; generated=2026-07-02T10:27:25.467Z
docs-api-reference/shared/rtc/template.mdx,,,0,shared,,convert to Fumadocs include or statically inline after dependency review,needs_review,medium,"No direct references found in scanned source pages; decide whether to migrate as reusable content, archive, or drop.",referenced_by_count=0; generated=2026-07-02T10:27:25.467Z
docs-api-reference/shared/rtc/var.mdx,,,0,shared,,convert to Fumadocs include or statically inline after dependency review,needs_review,medium,"No direct references found in scanned source pages; decide whether to migrate as reusable content, archive, or drop.",referenced_by_count=0; generated=2026-07-02T10:27:25.467Z
docs/shared/chatroom/app-flow.mdx,docs/chatroom/sdk/get-started/quick-integration.android.mdx|docs/chatroom/sdk/get-started/quick-integration.ios.mdx,,0,chatroom,android|ios,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=2; generated=2026-07-02T10:27:25.467Z
docs/shared/chatroom/host-url-replace.mdx,docs/chatroom/uikit/get-started/quick-integration.android.mdx|docs/chatroom/uikit/get-started/quick-integration.ios.mdx,,0,chatroom,android|ios,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=2; generated=2026-07-02T10:27:25.467Z
docs/shared/chatroom/pic-uikit-architecture.mdx,docs/chatroom/sdk/overview.mdx|docs/chatroom/uikit/get-started/run-github-project.android.mdx|docs/chatroom/uikit/get-started/run-github-project.ios.mdx|docs/chatroom/uikit/overview.mdx,,0,chatroom,android|ios,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=4; generated=2026-07-02T10:27:25.467Z
docs/shared/chatroom/platform-uikit-architecture.mdx,docs/chatroom/sdk/overview.mdx|docs/chatroom/uikit/get-started/run-github-project.android.mdx|docs/chatroom/uikit/get-started/run-github-project.ios.mdx|docs/chatroom/uikit/overview.mdx,,0,chatroom,android|ios,convert to Fumadocs include or statically inline after dependency review,ready_for_mapping,medium,,referenced_by_count=4; generated=2026-07-02T10:27:25.467Z
